date,actual,predicted,error,abs_error,pct_error
2025-08-01,1100.0,1106.1874277693198,-6.187427769319811,6.187427769319811,0.5624934335745283
2025-08-04,1100.0,1120.3770802863082,-20.377080286308228,20.377080286308228,1.8524618442098388
2025-08-05,1100.0,1123.8046228372525,-23.80462283725251,23.80462283725251,2.16405662156841
2025-08-06,1120.0,1126.9164464434823,-6.9164464434823,6.9164464434823,0.6175398610252054
2025-08-07,1120.0,1129.3602925106554,-9.360292510655427,9.360292510655427,0.8357404027370917
2025-08-08,1120.0,1131.7244697418928,-11.72446974189279,11.72446974189279,1.0468276555261418
2025-08-11,1120.0,1137.146435376372,-17.146435376371983,17.146435376371983,1.5309317300332128
2025-08-12,1120.0,1138.5107642069881,-18.510764206988142,18.510764206988142,1.6527468041953697
2025-08-13,1120.0,1139.6999165180898,-19.69991651808982,19.69991651808982,1.758921117686591
2025-08-14,1120.0,1140.736369817554,-20.736369817554078,20.736369817554078,1.8514615908530425
2025-08-15,1120.0,1141.3712300030709,-21.371230003070878,21.371230003070878,1.9081455359884714
2025-08-18,1080.0,1140.599395859114,-60.59939585911411,60.59939585911411,5.611055172140196
2025-08-19,1080.0,1141.1207021666924,-61.120702166692354,61.120702166692354,5.659324274693737
2025-08-20,1080.0,1141.5750638432892,-61.57506384328917,61.57506384328917,5.701394800304553
2025-08-21,1080.0,1141.4341251110015,-61.43412511100155,61.43412511100155,5.6883449176853285
2025-08-22,1080.0,1136.4168350573477,-56.416835057347726,56.416835057347726,5.223781023828493
2025-08-25,1080.0,1128.6767703520059,-48.67677035200586,48.67677035200586,4.507108365926468
2025-08-26,1080.0,1128.8761499129262,-48.87614991292617,48.87614991292617,4.525569436382052
2025-08-27,1040.0,1125.9925958891256,-85.9925958891256,85.9925958891256,8.268518835492845
2025-08-28,1020.0,1126.1439274484414,-106.14392744844145,106.14392744844145,10.406267396906024
2025-08-29,1020.0,1121.9135349077735,-101.91353490777351,101.91353490777351,9.991523030173873
2025-09-01,1020.0,1009.609188795057,10.39081120494302,10.39081120494302,1.0187069808767668
