date,actual,predicted,error,abs_error,pct_error
2025-08-01,1500.0,1508.2688580832162,-8.268858083216173,8.268858083216173,0.5512572055477448
2025-08-04,1500.0,1528.79051075553,-28.790510755530022,28.790510755530022,1.9193673837020013
2025-08-05,1500.0,1535.0039787290034,-35.00397872900339,35.00397872900339,2.3335985819335594
2025-08-06,1500.0,1540.337049595897,-40.33704959589704,40.33704959589704,2.6891366397264695
2025-08-07,1500.0,1545.0166913633298,-45.016691363329755,45.016691363329755,3.001112757555317
2025-08-08,1480.0,1549.2941793521186,-69.29417935211859,69.29417935211859,4.682039145413419
2025-08-11,1480.0,1560.5653292583825,-80.56532925838246,80.56532925838246,5.443603328269085
2025-08-12,1480.0,1563.6372524449669,-83.63725244496686,83.63725244496686,5.651165705741004
2025-08-13,1480.0,1566.4607739884443,-86.46077398844432,86.46077398844432,5.8419441884084
2025-08-14,1480.0,1566.6559501676816,-86.65595016768157,86.65595016768157,5.855131768086593
2025-08-15,1480.0,1569.150466426031,-89.15046642603102,89.15046642603102,6.023680163921015
2025-08-18,1480.0,1576.7810448638206,-96.78104486382063,96.78104486382063,6.539259788095989
2025-08-19,1480.0,1569.6904364038367,-89.69043640383666,89.69043640383666,6.060164621880855
2025-08-20,1480.0,1571.2570247724786,-91.25702477247864,91.25702477247864,6.166015187329639
2025-08-21,1480.0,1572.7057397498354,-92.7057397498354,92.7057397498354,6.263901334448338
2025-08-22,1480.0,1574.3408618204317,-94.34086182043166,94.34086182043166,6.374382555434571
2025-08-25,1480.0,1571.7817050179515,-91.78170501795148,91.78170501795148,6.201466555266992
2025-08-26,1480.0,1568.73003474508,-88.73003474508005,88.73003474508005,5.995272617910814
2025-08-27,1480.0,1569.6545288451166,-89.6545288451166,89.6545288451166,6.057738435480851
2025-08-28,1480.0,1570.5497551132696,-90.54975511326961,90.54975511326961,6.118226696842542
2025-08-29,1480.0,1567.2989036881054,-87.29890368810538,87.29890368810538,5.898574573520634
2025-09-01,1480.0,1480.865098153665,-0.8650981536650306,0.8650981536650306,0.0584525779503399
2025-09-02,1480.0,1481.7812206164103,-1.7812206164103372,1.7812206164103372,0.12035274435204982
2025-09-03,1480.0,1475.888085561374,4.111914438625945,4.111914438625945,0.2778320566639152
2025-09-04,1420.0,1476.3817420921646,-56.381742092164586,56.381742092164586,3.9705452177580693
2025-09-05,1420.0,1472.800824369469,-52.800824369468955,52.800824369468955,3.718367913342884
2025-09-08,1420.0,1469.9900880774553,-49.99008807745531,49.99008807745531,3.520428737848966
2025-09-09,1420.0,1470.2705518381424,-50.27055183814241,50.27055183814241,3.540179706911437
2025-09-10,1420.0,1470.7504988607102,-50.750498860710195,50.750498860710195,3.5739787930077602
2025-09-11,1420.0,1471.2824784237089,-51.28247842370888,51.28247842370888,3.61144214251471
2025-09-12,1420.0,1471.500506698384,-51.500506698384015,51.500506698384015,3.6267962463650716
2025-09-15,1420.0,1474.0965582206102,-54.09655822061018,54.09655822061018,3.809616776099308
2025-09-16,1420.0,1474.2522441369458,-54.25224413694582,54.25224413694582,3.8205805730243534
2025-09-17,1510.0,1474.3848487343464,35.615151265653594,35.615151265653594,2.358619289116132
2025-09-18,1510.0,1474.808516214831,35.19148378516911,35.19148378516911,2.330561840077425
2025-09-19,1510.0,1474.9268271737583,35.073172826241716,35.073172826241716,2.3227266772345505
2025-09-22,1510.0,1475.0876550929859,34.91234490701413,34.91234490701413,2.312075821656565
2025-09-23,1510.0,1474.1455359254676,35.854464074532416,35.854464074532416,2.374467819505458
2025-09-24,1600.0,1474.270659636778,125.72934036322204,125.72934036322204,7.858083772701377
2025-09-25,1600.0,1474.3537593757042,125.64624062429584,125.64624062429584,7.85289003901849
2025-09-26,1600.0,1475.0149587083838,124.9850412916162,124.9850412916162,7.811565080726012
2025-09-28,1600.0,1471.432101285051,128.56789871494902,128.56789871494902,8.035493669684314
2025-09-29,1600.0,1471.4835279551162,128.5164720448838,128.5164720448838,8.032279502805238
2025-09-30,1600.0,1471.5344497926626,128.4655502073374,128.4655502073374,8.029096887958588
2025-10-01,,1603.7533264849485,,,
2025-10-09,1540.0,1621.5658830237187,-81.5658830237187,81.5658830237187,5.296485910631085
2025-10-10,1540.0,1620.5351629838015,-80.53516298380146,80.53516298380146,5.229556037909186
2025-10-11,1540.0,1626.9040732192748,-86.90407321927478,86.90407321927478,5.643121637615246
2025-10-13,1540.0,1627.9955678381443,-87.99556783814432,87.99556783814432,5.713997911567813
2025-10-14,1540.0,1629.2637136308085,-89.26371363080852,89.26371363080852,5.796345040961592
2025-10-15,1540.0,1628.6739413206835,-88.67394132068353,88.67394132068353,5.758048137706723
2025-10-16,1540.0,1629.707730541266,-89.70773054126607,89.70773054126607,5.82517730787442
2025-10-17,1560.0,1630.7560635951036,-70.75606359510357,70.75606359510357,4.535645102250229
2025-10-20,1560.0,1626.1839357473211,-66.18393574732113,66.18393574732113,4.242559983802637
2025-10-21,1560.0,1626.9874976717524,-66.98749767175241,66.98749767175241,4.294070363573872
2025-10-22,1560.0,1628.343570638151,-68.34357063815105,68.34357063815105,4.380998117830195
2025-10-23,1610.0,1628.9139581391128,-18.913958139112765,18.913958139112765,1.1747800086405444
2025-10-24,1610.0,1629.4337607253942,-19.433760725394222,19.433760725394222,1.2070658835648584
2025-10-27,1610.0,1623.688858768643,-13.688858768643058,13.688858768643058,0.8502396750709974
2025-10-28,1610.0,1624.06156246447,-14.061562464469944,14.061562464469944,0.8733889729484436
2025-10-29,1610.0,1624.4037794153041,-14.403779415304143,14.403779415304143,0.8946446841803816
2025-10-30,1610.0,1624.2693883392328,-14.269388339232819,14.269388339232819,0.8862974123747094
2025-10-31,1610.0,1624.281485535764,-14.281485535763977,14.281485535763977,0.8870487910412408
2025-11-03,1610.0,1607.902586694161,2.097413305838927,2.097413305838927,0.13027411837508862
2025-11-04,1610.0,1609.0637963178008,0.9362036821992206,0.9362036821992206,0.05814929703100749
2025-11-05,1670.0,1610.1259314132817,59.874068586718295,59.874068586718295,3.5852735680669636
2025-11-06,1670.0,1604.1067242775187,65.89327572248135,65.89327572248135,3.9457051330827158
2025-11-07,1670.0,1605.0044881293902,64.99551187060979,64.99551187060979,3.8919468185993886
2025-11-10,1670.0,1607.2192520646963,62.78074793530368,62.78074793530368,3.759326223670879
2025-11-11,1670.0,1607.4098208082685,62.59017919173152,62.59017919173152,3.7479149216605703
2025-11-12,1710.0,1610.381175447952,99.61882455204795,99.61882455204795,5.825662254505729
2025-11-13,1710.0,1613.3118524467113,96.68814755328867,96.68814755328867,5.654277634695244
2025-11-14,1710.0,1614.0680030967303,95.93199690326969,95.93199690326969,5.610058298436824
2025-11-15,,1614.5513574749523,,,
2025-11-17,1710.0,1613.7090785691898,96.29092143081016,96.29092143081016,5.631048036889482
2025-11-18,1710.0,1614.062168497599,95.93783150240097,95.93783150240097,5.610399503064384
2025-11-19,1670.0,1614.444084610617,55.55591538938302,55.55591538938302,3.3267015203223367
2025-11-20,1670.0,1613.233732018373,56.766267981626925,56.766267981626925,3.3991777234507143
2025-11-21,1670.0,1612.3119070859084,57.68809291409161,57.68809291409161,3.4543768212030903
2025-11-24,1670.0,1610.3815350479194,59.61846495208056,59.61846495208056,3.5699679612024284
2025-11-25,1580.0,1610.5931209682421,-30.593120968242147,30.593120968242147,1.9362734790026677
2025-11-26,1580.0,1610.0267510613526,-30.02675106135257,30.02675106135257,1.9004272823640866
2025-11-27,1580.0,1610.1895444986264,-30.189544498626447,30.189544498626447,1.9107306644700284
2025-11-28,1580.0,1610.3818870869618,-30.381887086961797,30.381887086961797,1.9229042460102401
2025-12-01,1580.0,1578.4538616840703,1.5461383159297384,1.5461383159297384,0.09785685543859104
2025-12-02,1580.0,1574.3890327787592,5.610967221240799,5.610967221240799,0.35512450767346826
2025-12-03,1500.0,1567.4025678931898,-67.40256789318983,67.40256789318983,4.493504526212655
2025-12-04,1500.0,1564.6238152180438,-64.62381521804377,64.62381521804377,4.3082543478695845
2025-12-05,1500.0,1561.3138428253399,-61.31384282533986,61.31384282533986,4.087589521689324
2025-12-08,1500.0,1554.9077282388857,-54.90772823888574,54.90772823888574,3.6605152159257157
2025-12-09,1500.0,1553.0854059628357,-53.085405962835694,53.085405962835694,3.5390270641890464
2025-12-10,1500.0,1548.336217323624,-48.33621732362394,48.33621732362394,3.222414488241596
2025-12-11,1500.0,1546.8562103309268,-46.85621033092684,46.85621033092684,3.1237473553951225
2025-12-12,1500.0,1541.025546605415,-41.025546605415,41.025546605415,2.735036440361
2025-12-15,1500.0,1534.4213989625355,-34.42139896253548,34.42139896253548,2.2947599308356983
2025-12-16,1500.0,1533.4207079983512,-33.42070799835119,33.42070799835119,2.2280471998900797
2025-12-17,1500.0,1529.3151133500235,-29.315113350023466,29.315113350023466,1.9543408900015644
2025-12-18,1600.0,1528.472392170511,71.52760782948894,71.52760782948894,4.470475489343059
2025-12-19,1600.0,1527.6988341918693,72.30116580813069,72.30116580813069,4.518822863008168
2025-12-22,1600.0,1527.6144241108452,72.38557588915478,72.38557588915478,4.524098493072174
2025-12-23,1600.0,1530.3387094050547,69.66129059494529,69.66129059494529,4.35383066218408
2025-12-24,1600.0,1529.8474914997987,70.1525085002013,70.1525085002013,4.384531781262581
2025-12-25,1600.0,1528.6729980619173,71.32700193808273,71.32700193808273,4.457937621130171
2025-12-26,1600.0,1528.2483871960858,71.75161280391421,71.75161280391421,4.484475800244638
2025-12-29,1600.0,1533.6558814442342,66.34411855576582,66.34411855576582,4.146507409735364
2025-12-30,1600.0,1532.8368335456637,67.1631664543363,67.1631664543363,4.197697903396019
2025-12-31,1600.0,1533.5816902870652,66.41830971293484,66.41830971293484,4.151144357058428
2026-01-01,,1601.1450474168203,,,
2026-01-04,1600.0,1610.5085857549855,-10.50858575498546,10.50858575498546,0.6567866096865913
2026-01-05,1500.0,1611.335548219195,-111.33554821919506,111.33554821919506,7.422369881279671
2026-01-06,1500.0,1611.4136031015014,-111.4136031015014,111.4136031015014,7.427573540100093
2026-01-07,1510.0,1611.574743484822,-101.57474348482197,101.57474348482197,6.726804204292845
2026-01-08,1510.0,1613.0918555974554,-103.09185559745538,103.09185559745538,6.827275205129495
2026-01-09,1510.0,1613.3385293198096,-103.3385293198096,103.3385293198096,6.843611213232423
2026-01-12,1510.0,1619.1438663697181,-109.14386636971813,109.14386636971813,7.228070620511135
2026-01-13,1510.0,1619.5456209037332,-109.54562090373315,109.54562090373315,7.254676881041931
2026-01-14,1510.0,1619.9321963326195,-109.93219633261947,109.93219633261947,7.280277902822481
