指标名称,统计局：焦炭：产量：青海（月）
指标编码,CM0000049188
2007-11-30 00:00:00,9.64
2007-10-31 00:00:00,7.8
2007-09-30 00:00:00,11.28
2007-08-31 00:00:00,6.34
2007-07-31 00:00:00,6.33
2007-06-30 00:00:00,6.27
2007-05-31 00:00:00,7.85
2007-04-30 00:00:00,4.75
2007-03-31 00:00:00,14.24
2006-12-31 00:00:00,2.97
2006-11-30 00:00:00,4.28
2006-10-31 00:00:00,3.57
2006-09-30 00:00:00,2.57
2006-08-31 00:00:00,3.03
2006-07-31 00:00:00,3.06
2006-06-30 00:00:00,3.21
2006-05-31 00:00:00,3.52
2006-04-30 00:00:00,3.5
2006-03-31 00:00:00,2.08
2006-02-28 00:00:00,1.33
2006-01-31 00:00:00,1.32
2005-12-31 00:00:00,0.85
2005-11-30 00:00:00,0.74
2003-05-31 00:00:00,0.0
2003-04-30 00:00:00,0.01
2003-03-31 00:00:00,0.01
2002-12-31 00:00:00,2.0
