指标名称,Mysteel冶金焦国产价格指数：湿熄：现货价格指数：中国（日）
指标编码,ID00187989
2025-06-06 00:00:00,1175.5
2025-06-05 00:00:00,1239.0
2025-06-04 00:00:00,1239.0
2025-06-03 00:00:00,1239.0
2025-05-30 00:00:00,1246.3
2025-05-29 00:00:00,1248.1
2025-05-28 00:00:00,1248.1
2025-05-27 00:00:00,1293.2
2025-05-26 00:00:00,1293.2
2025-05-23 00:00:00,1293.2
2025-05-22 00:00:00,1293.2
2025-05-21 00:00:00,1293.3
2025-05-20 00:00:00,1294.1
2025-05-19 00:00:00,1294.1
2025-05-16 00:00:00,1294.1
2025-05-15 00:00:00,1339.6
2025-05-14 00:00:00,1339.6
2025-05-13 00:00:00,1339.6
2025-05-12 00:00:00,1339.6
2025-05-09 00:00:00,1339.6
2025-05-08 00:00:00,1339.6
2025-05-07 00:00:00,1339.5
2025-05-06 00:00:00,1339.5
2025-04-30 00:00:00,1337.0
2025-04-29 00:00:00,1337.0
2025-04-28 00:00:00,1337.0
2025-04-27 00:00:00,1337.0
2025-04-25 00:00:00,1337.0
2025-04-24 00:00:00,1337.0
2025-04-23 00:00:00,1337.0
2025-04-22 00:00:00,1337.0
2025-04-21 00:00:00,1336.9
2025-04-18 00:00:00,1336.1
2025-04-17 00:00:00,1336.1
2025-04-16 00:00:00,1336.1
2025-04-15 00:00:00,1336.1
2025-04-14 00:00:00,1291.0
2025-04-11 00:00:00,1291.0
2025-04-10 00:00:00,1291.0
2025-04-09 00:00:00,1291.0
2025-04-08 00:00:00,1291.0
2025-04-07 00:00:00,1292.3
2025-04-03 00:00:00,1292.3
2025-04-02 00:00:00,1292.3
2025-04-01 00:00:00,1292.3
2025-03-31 00:00:00,1296.8
2025-03-28 00:00:00,1296.8
2025-03-27 00:00:00,1296.8
2025-03-26 00:00:00,1296.8
2025-03-25 00:00:00,1296.8
2025-03-24 00:00:00,1296.8
2025-03-21 00:00:00,1297.3
2025-03-20 00:00:00,1298.1
2025-03-19 00:00:00,1298.1
2025-03-18 00:00:00,1298.1
2025-03-17 00:00:00,1298.1
2025-03-14 00:00:00,1298.1
2025-03-13 00:00:00,1343.6
2025-03-12 00:00:00,1343.6
2025-03-11 00:00:00,1343.6
2025-03-10 00:00:00,1343.6
2025-03-07 00:00:00,1343.6
2025-03-06 00:00:00,1343.6
2025-03-05 00:00:00,1344.7
2025-03-04 00:00:00,1344.7
2025-03-03 00:00:00,1348.1
2025-02-28 00:00:00,1362.6
2025-02-27 00:00:00,1362.6
2025-02-26 00:00:00,1362.6
2025-02-25 00:00:00,1362.6
2025-02-24 00:00:00,1406.3
2025-02-21 00:00:00,1407.0
2025-02-20 00:00:00,1408.0
2025-02-19 00:00:00,1408.0
2025-02-18 00:00:00,1408.0
2025-02-17 00:00:00,1451.6
2025-02-14 00:00:00,1451.6
2025-02-13 00:00:00,1451.6
2025-02-12 00:00:00,1451.6
2025-02-11 00:00:00,1451.6
2025-02-10 00:00:00,1453.2
2025-02-08 00:00:00,1496.2
2025-02-07 00:00:00,1496.2
2025-02-06 00:00:00,1496.2
2025-02-05 00:00:00,1496.2
2025-01-27 00:00:00,1506.1
2025-01-26 00:00:00,1506.4
2025-01-24 00:00:00,1506.4
2025-01-23 00:00:00,1506.4
2025-01-22 00:00:00,1508.8
2025-01-21 00:00:00,1508.8
2025-01-20 00:00:00,1523.6
2025-01-17 00:00:00,1582.8
2025-01-16 00:00:00,1582.8
2025-01-15 00:00:00,1582.8
