指标名称,中国：社会融资规模增量（月）
指标编码,CM0000662662
2011-03-31 00:00:00,18212.0
2011-02-28 00:00:00,6468.0
2011-01-31 00:00:00,17560.0
2010-12-31 00:00:00,10780.0
2010-11-30 00:00:00,10554.0
2010-10-31 00:00:00,8608.0
2010-09-30 00:00:00,11224.0
2010-08-31 00:00:00,10646.0
2010-07-31 00:00:00,7202.0
2010-06-30 00:00:00,10196.0
2010-05-31 00:00:00,10805.0
2010-04-30 00:00:00,14919.0
2010-03-31 00:00:00,13830.0
2010-02-28 00:00:00,10877.0
2010-01-31 00:00:00,20550.0
2009-12-31 00:00:00,8100.0
2009-11-30 00:00:00,9501.0
2009-10-31 00:00:00,5985.0
2009-09-30 00:00:00,11871.0
2009-08-31 00:00:00,7650.0
2009-07-31 00:00:00,7388.0
2009-06-30 00:00:00,21067.0
2009-05-31 00:00:00,14959.0
2009-04-30 00:00:00,5452.0
2009-03-31 00:00:00,22011.0
2009-02-28 00:00:00,11131.0
2009-01-31 00:00:00,13990.0
2008-12-31 00:00:00,8164.0
2008-11-30 00:00:00,4517.0
2008-10-31 00:00:00,1288.0
2008-09-30 00:00:00,5659.0
2008-08-31 00:00:00,4575.0
2008-07-31 00:00:00,4890.0
2008-06-30 00:00:00,5976.0
2008-05-31 00:00:00,5678.0
2008-04-30 00:00:00,7076.0
2008-03-31 00:00:00,6391.0
2008-02-29 00:00:00,4731.0
2008-01-31 00:00:00,10859.0
2007-12-31 00:00:00,4281.0
2007-11-30 00:00:00,3073.0
2007-10-31 00:00:00,3688.0
2007-09-30 00:00:00,5290.0
2007-08-31 00:00:00,6961.0
2007-07-31 00:00:00,3100.0
2007-06-30 00:00:00,7042.0
2007-05-31 00:00:00,3824.0
2007-04-30 00:00:00,6103.0
2007-03-31 00:00:00,6311.0
2007-02-28 00:00:00,3083.0
2007-01-31 00:00:00,6908.0
2006-12-31 00:00:00,3837.0
2006-11-30 00:00:00,2788.0
2006-10-31 00:00:00,894.0
2006-09-30 00:00:00,3077.0
2006-08-31 00:00:00,3362.0
2006-07-31 00:00:00,2254.0
2006-06-30 00:00:00,3843.0
2006-05-31 00:00:00,3785.0
2006-04-30 00:00:00,3325.0
2006-03-31 00:00:00,7472.0
2006-02-28 00:00:00,1737.0
2006-01-31 00:00:00,6323.0
2005-12-31 00:00:00,2524.0
2005-11-30 00:00:00,2368.0
2005-10-31 00:00:00,-974.0
2005-09-30 00:00:00,6041.0
2005-08-31 00:00:00,2097.0
2005-07-31 00:00:00,629.0
2005-06-30 00:00:00,4723.0
2005-05-31 00:00:00,1968.0
2005-04-30 00:00:00,1999.0
2005-03-31 00:00:00,4189.0
2005-02-28 00:00:00,824.0
2005-01-31 00:00:00,3620.0
2004-12-31 00:00:00,3586.0
2004-11-30 00:00:00,1977.0
2004-10-31 00:00:00,483.0
2004-09-30 00:00:00,2981.0
2004-08-31 00:00:00,1501.0
2004-07-31 00:00:00,590.0
2004-06-30 00:00:00,3229.0
2004-05-31 00:00:00,2443.0
2004-04-30 00:00:00,2731.0
2004-03-31 00:00:00,6557.0
2004-02-29 00:00:00,438.0
2004-01-31 00:00:00,2114.0
2003-12-31 00:00:00,2498.0
2003-11-30 00:00:00,1832.0
2003-10-31 00:00:00,1218.0
2003-09-30 00:00:00,4040.0
2003-08-31 00:00:00,3321.0
2003-07-31 00:00:00,1344.0
2003-06-30 00:00:00,5842.0
2003-05-31 00:00:00,2971.0
2003-04-30 00:00:00,2622.0
2003-03-31 00:00:00,4041.0
2003-02-28 00:00:00,998.0
2003-01-31 00:00:00,3386.0
2002-12-31 00:00:00,3109.0
2002-11-30 00:00:00,1805.0
2002-10-31 00:00:00,795.0
2002-09-30 00:00:00,3507.0
2002-08-31 00:00:00,1585.0
2002-07-31 00:00:00,813.0
2002-06-30 00:00:00,2621.0
2002-05-31 00:00:00,1774.0
2002-04-30 00:00:00,1151.0
2002-03-31 00:00:00,3136.0
2002-02-28 00:00:00,289.0
2002-01-31 00:00:00,-472.0
