指标名称,煤炭：进口：蒙古产：通关量：甘其毛都口岸（日）
指标编码,RE00024806
2025-07-06 00:00:00,11610.0
2025-07-05 00:00:00,125550.0
2025-07-04 00:00:00,101520.0
2025-07-03 00:00:00,93015.0
2025-07-02 00:00:00,83835.0
2025-07-01 00:00:00,98685.0
2025-06-30 00:00:00,105570.0
2025-06-28 00:00:00,76545.0
2025-06-27 00:00:00,90315.0
2025-06-26 00:00:00,111780.0
2025-06-25 00:00:00,92880.0
2025-06-24 00:00:00,91935.0
2025-06-23 00:00:00,113130.0
2025-06-21 00:00:00,95175.0
2025-06-20 00:00:00,83295.0
2025-06-19 00:00:00,108945.0
2025-06-18 00:00:00,87210.0
2025-06-17 00:00:00,93825.0
2025-06-16 00:00:00,99495.0
2025-06-14 00:00:00,108540.0
2025-06-13 00:00:00,82350.0
2025-06-12 00:00:00,95445.0
2025-06-10 00:00:00,111915.0
2025-06-09 00:00:00,119205.0
2025-06-07 00:00:00,110565.0
2025-06-06 00:00:00,114885.0
2025-06-05 00:00:00,105030.0
2025-06-04 00:00:00,98820.0
2025-06-03 00:00:00,93420.0
2025-06-02 00:00:00,110565.0
2025-05-30 00:00:00,80595.0
2025-05-29 00:00:00,79920.0
2025-05-28 00:00:00,135135.0
2025-05-27 00:00:00,134325.0
2025-05-26 00:00:00,149715.0
2025-05-24 00:00:00,147015.0
2025-05-23 00:00:00,132435.0
2025-05-22 00:00:00,103545.0
2025-05-21 00:00:00,122445.0
2025-05-20 00:00:00,96795.0
2025-05-19 00:00:00,115965.0
2025-05-17 00:00:00,159303.0
2025-05-16 00:00:00,83025.0
2025-05-15 00:00:00,110160.0
2025-05-14 00:00:00,93555.0
2025-05-13 00:00:00,157680.0
2025-05-12 00:00:00,130950.0
2025-05-10 00:00:00,154710.0
2025-05-09 00:00:00,165105.0
2025-05-08 00:00:00,146745.0
2025-05-07 00:00:00,149580.0
2025-05-06 00:00:00,155925.0
2025-05-05 00:00:00,133650.0
2025-04-30 00:00:00,79650.0
2025-04-29 00:00:00,123795.0
2025-04-28 00:00:00,81945.0
2025-04-26 00:00:00,78030.0
2025-04-25 00:00:00,64530.0
2025-04-24 00:00:00,88695.0
2025-04-23 00:00:00,96525.0
2025-04-22 00:00:00,86130.0
2025-04-21 00:00:00,109485.0
2025-04-19 00:00:00,120420.0
2025-04-18 00:00:00,119070.0
