指标名称,美国：非农就业人员：季调人数变动（月）
指标编码,GM0000033031
2010-07-31 00:00:00,-68.0
2010-06-30 00:00:00,-137.0
2010-05-31 00:00:00,524.0
2010-04-30 00:00:00,243.0
2010-03-31 00:00:00,164.0
2010-02-28 00:00:00,-68.0
2010-01-31 00:00:00,23.0
2009-12-31 00:00:00,-275.0
2009-11-30 00:00:00,-2.0
2009-10-31 00:00:00,-204.0
2009-09-30 00:00:00,-220.0
2009-08-31 00:00:00,-213.0
2009-07-31 00:00:00,-329.0
2009-06-30 00:00:00,-471.0
2009-05-31 00:00:00,-349.0
2009-04-30 00:00:00,-687.0
2009-03-31 00:00:00,-823.0
2009-02-28 00:00:00,-702.0
2009-01-31 00:00:00,-793.0
2008-12-31 00:00:00,-694.0
2008-11-30 00:00:00,-766.0
2008-10-31 00:00:00,-474.0
2008-09-30 00:00:00,-450.0
2008-08-31 00:00:00,-267.0
2008-07-31 00:00:00,-213.0
2008-06-30 00:00:00,-162.0
2008-05-31 00:00:00,-186.0
2008-04-30 00:00:00,-210.0
2008-03-31 00:00:00,-78.0
2008-02-29 00:00:00,-84.0
2008-01-31 00:00:00,17.0
2007-12-31 00:00:00,98.0
2007-11-30 00:00:00,114.0
2007-10-31 00:00:00,84.0
2007-09-30 00:00:00,88.0
2007-08-31 00:00:00,-20.0
2007-07-31 00:00:00,-34.0
2007-06-30 00:00:00,75.0
2007-05-31 00:00:00,143.0
2007-04-30 00:00:00,80.0
2007-03-31 00:00:00,190.0
2007-02-28 00:00:00,89.0
2007-01-31 00:00:00,240.0
2006-12-31 00:00:00,171.0
2006-11-30 00:00:00,209.0
2006-10-31 00:00:00,8.0
2006-09-30 00:00:00,153.0
2006-08-31 00:00:00,183.0
2006-07-31 00:00:00,206.0
2006-06-30 00:00:00,79.0
2006-05-31 00:00:00,25.0
2006-04-30 00:00:00,183.0
2006-03-31 00:00:00,282.0
2006-02-28 00:00:00,315.0
2006-01-31 00:00:00,278.0
2005-12-31 00:00:00,157.0
2005-11-30 00:00:00,341.0
2005-10-31 00:00:00,84.0
2005-09-30 00:00:00,67.0
2005-08-31 00:00:00,196.0
2005-07-31 00:00:00,374.0
2005-06-30 00:00:00,245.0
2005-05-31 00:00:00,177.0
2005-04-30 00:00:00,364.0
2005-03-31 00:00:00,135.0
2005-02-28 00:00:00,239.0
2005-01-31 00:00:00,136.0
2004-12-31 00:00:00,129.0
2004-11-30 00:00:00,66.0
2004-10-31 00:00:00,346.0
2004-09-30 00:00:00,162.0
2004-08-31 00:00:00,119.0
2004-07-31 00:00:00,45.0
2004-06-30 00:00:00,77.0
2004-05-31 00:00:00,307.0
2004-04-30 00:00:00,251.0
2004-03-31 00:00:00,331.0
2004-02-29 00:00:00,48.0
2004-01-31 00:00:00,159.0
2003-12-31 00:00:00,123.0
2003-11-30 00:00:00,11.0
2003-10-31 00:00:00,203.0
2003-09-30 00:00:00,104.0
2003-08-31 00:00:00,-41.0
2003-07-31 00:00:00,22.0
2003-06-30 00:00:00,10.0
2003-05-31 00:00:00,-7.0
2003-04-30 00:00:00,-44.0
2003-03-31 00:00:00,-209.0
2003-02-28 00:00:00,-149.0
2003-01-31 00:00:00,92.0
2002-12-31 00:00:00,-158.0
2002-11-30 00:00:00,13.0
2002-10-31 00:00:00,122.0
2002-09-30 00:00:00,-60.0
2002-08-31 00:00:00,-14.0
2002-07-31 00:00:00,-84.0
2002-06-30 00:00:00,56.0
2002-05-31 00:00:00,-5.0
2002-04-30 00:00:00,-78.0
2002-03-31 00:00:00,-21.0
2002-02-28 00:00:00,-136.0
2002-01-31 00:00:00,-135.0
2001-12-31 00:00:00,-172.0
2001-11-30 00:00:00,-291.0
2001-10-31 00:00:00,-327.0
2001-09-30 00:00:00,-241.0
2001-08-31 00:00:00,-156.0
2001-07-31 00:00:00,-111.0
2001-06-30 00:00:00,-130.0
2001-05-31 00:00:00,-39.0
2001-04-30 00:00:00,-280.0
2001-03-31 00:00:00,-27.0
2001-02-28 00:00:00,72.0
2001-01-31 00:00:00,-25.0
2000-12-31 00:00:00,142.0
2000-11-30 00:00:00,228.0
2000-10-31 00:00:00,-14.0
2000-09-30 00:00:00,135.0
2000-08-31 00:00:00,-13.0
2000-07-31 00:00:00,176.0
2000-06-30 00:00:00,-44.0
2000-05-31 00:00:00,226.0
2000-04-30 00:00:00,287.0
2000-03-31 00:00:00,468.0
2000-02-29 00:00:00,131.0
2000-01-31 00:00:00,228.0
1999-12-31 00:00:00,299.0
1999-11-30 00:00:00,293.0
1999-10-31 00:00:00,397.0
1999-09-30 00:00:00,216.0
1999-08-31 00:00:00,162.0
1999-07-31 00:00:00,321.0
1999-06-30 00:00:00,263.0
1999-05-31 00:00:00,212.0
1999-04-30 00:00:00,374.0
1999-03-31 00:00:00,108.0
1999-02-28 00:00:00,409.0
1999-01-31 00:00:00,126.0
1998-12-31 00:00:00,347.0
1998-11-30 00:00:00,280.0
1998-10-31 00:00:00,201.0
1998-09-30 00:00:00,222.0
1998-08-31 00:00:00,342.0
1998-07-31 00:00:00,129.0
1998-06-30 00:00:00,220.0
1998-05-31 00:00:00,404.0
1998-04-30 00:00:00,280.0
1998-03-31 00:00:00,149.0
1998-02-28 00:00:00,199.0
1998-01-31 00:00:00,274.0
1997-12-31 00:00:00,304.0
1997-11-30 00:00:00,304.0
1997-10-31 00:00:00,342.0
1997-09-30 00:00:00,511.0
1997-08-31 00:00:00,-31.0
1997-07-31 00:00:00,306.0
1997-06-30 00:00:00,266.0
1997-05-31 00:00:00,261.0
1997-04-30 00:00:00,292.0
1997-03-31 00:00:00,315.0
1997-02-28 00:00:00,305.0
1997-01-31 00:00:00,233.0
1996-12-31 00:00:00,171.0
1996-11-30 00:00:00,299.0
1996-10-31 00:00:00,249.0
1996-09-30 00:00:00,224.0
1996-08-31 00:00:00,180.0
1996-07-31 00:00:00,250.0
1996-06-30 00:00:00,285.0
1996-05-31 00:00:00,323.0
1996-04-30 00:00:00,164.0
1996-03-31 00:00:00,265.0
1996-02-29 00:00:00,429.0
1996-01-31 00:00:00,-15.0
1995-12-31 00:00:00,134.0
1995-11-30 00:00:00,149.0
1995-10-31 00:00:00,151.0
1995-09-30 00:00:00,244.0
1995-08-31 00:00:00,255.0
1995-07-31 00:00:00,96.0
1995-06-30 00:00:00,234.0
1995-05-31 00:00:00,-16.0
1995-04-30 00:00:00,163.0
1995-03-31 00:00:00,219.0
1995-02-28 00:00:00,201.0
1995-01-31 00:00:00,326.0
1994-12-31 00:00:00,280.0
1994-11-30 00:00:00,421.0
1994-10-31 00:00:00,209.0
1994-09-30 00:00:00,354.0
1994-08-31 00:00:00,283.0
1994-07-31 00:00:00,374.0
1994-06-30 00:00:00,314.0
1994-05-31 00:00:00,334.0
1994-04-30 00:00:00,350.0
1994-03-31 00:00:00,464.0
1994-02-28 00:00:00,196.0
1994-01-31 00:00:00,272.0
1993-12-31 00:00:00,316.0
1993-11-30 00:00:00,263.0
1993-10-31 00:00:00,283.0
1993-09-30 00:00:00,241.0
1993-08-31 00:00:00,158.0
1993-07-31 00:00:00,302.0
1993-06-30 00:00:00,179.0
1993-05-31 00:00:00,267.0
1993-04-30 00:00:00,308.0
1993-03-31 00:00:00,-49.0
1993-02-28 00:00:00,243.0
1993-01-31 00:00:00,310.0
1992-12-31 00:00:00,211.0
1992-11-30 00:00:00,136.0
1992-10-31 00:00:00,181.0
1992-09-30 00:00:00,36.0
1992-08-31 00:00:00,138.0
1992-07-31 00:00:00,73.0
1992-06-30 00:00:00,65.0
1992-05-31 00:00:00,127.0
1992-04-30 00:00:00,158.0
1992-03-31 00:00:00,55.0
1992-02-29 00:00:00,-61.0
1992-01-31 00:00:00,51.0
1991-12-31 00:00:00,26.0
1991-11-30 00:00:00,-57.0
1991-10-31 00:00:00,15.0
1991-09-30 00:00:00,32.0
1991-08-31 00:00:00,10.0
1991-07-31 00:00:00,-39.0
1991-06-30 00:00:00,94.0
1991-05-31 00:00:00,-123.0
1991-04-30 00:00:00,-212.0
1991-03-31 00:00:00,-158.0
1991-02-28 00:00:00,-306.0
1991-01-31 00:00:00,-117.0
1990-12-31 00:00:00,-56.0
1990-11-30 00:00:00,-149.0
1990-10-31 00:00:00,-160.0
1990-09-30 00:00:00,-90.0
1990-08-31 00:00:00,-216.0
1990-07-31 00:00:00,-31.0
1990-06-30 00:00:00,22.0
1990-05-31 00:00:00,152.0
1990-04-30 00:00:00,39.0
1990-03-31 00:00:00,215.0
1990-02-28 00:00:00,248.0
1990-01-31 00:00:00,336.0
1989-12-31 00:00:00,96.0
1989-11-30 00:00:00,277.0
1989-10-31 00:00:00,111.0
1989-09-30 00:00:00,250.0
1989-08-31 00:00:00,49.0
1989-07-31 00:00:00,40.0
1989-06-30 00:00:00,116.0
1989-05-31 00:00:00,118.0
1989-04-30 00:00:00,173.0
1989-03-31 00:00:00,193.0
1989-02-28 00:00:00,258.0
1989-01-31 00:00:00,262.0
