指标名称,欧元区20国：消费者：信心指数（月）
指标编码,GM0000039261
2017-12-31 00:00:00,-2.5
2017-11-30 00:00:00,-3.1
2017-10-31 00:00:00,-3.5
2017-09-30 00:00:00,-4.3
2017-08-31 00:00:00,-4.6
2017-07-31 00:00:00,-4.8
2017-06-30 00:00:00,-5.0
2017-05-31 00:00:00,-6.1
2017-04-30 00:00:00,-6.1
2017-03-31 00:00:00,-6.5
2017-02-28 00:00:00,-7.3
2017-01-31 00:00:00,-6.1
2016-12-31 00:00:00,-6.3
2016-11-30 00:00:00,-6.7
2016-10-31 00:00:00,-7.6
2016-09-30 00:00:00,-8.5
2016-08-31 00:00:00,-8.6
2016-07-31 00:00:00,-8.8
2016-06-30 00:00:00,-8.2
2016-05-31 00:00:00,-8.7
2016-04-30 00:00:00,-8.3
2016-03-31 00:00:00,-8.6
2016-02-29 00:00:00,-7.4
2016-01-31 00:00:00,-6.5
2015-12-31 00:00:00,-6.3
2015-11-30 00:00:00,-6.9
2015-10-31 00:00:00,-7.8
2015-09-30 00:00:00,-8.0
2015-08-31 00:00:00,-8.3
2015-07-31 00:00:00,-9.2
2015-06-30 00:00:00,-8.1
2015-05-31 00:00:00,-7.8
2015-04-30 00:00:00,-6.8
2015-03-31 00:00:00,-6.4
2015-02-28 00:00:00,-7.7
2015-01-31 00:00:00,-10.1
2014-12-31 00:00:00,-11.7
2014-11-30 00:00:00,-12.4
2014-10-31 00:00:00,-12.2
2014-09-30 00:00:00,-12.8
2014-08-31 00:00:00,-12.4
2014-07-31 00:00:00,-11.2
2014-06-30 00:00:00,-11.1
2014-05-31 00:00:00,-11.1
2014-04-30 00:00:00,-11.6
2014-03-31 00:00:00,-11.4
2014-02-28 00:00:00,-12.5
2014-01-31 00:00:00,-12.9
2013-12-31 00:00:00,-13.8
2013-11-30 00:00:00,-14.3
2013-10-31 00:00:00,-15.0
2013-09-30 00:00:00,-14.4
2013-08-31 00:00:00,-16.3
2013-07-31 00:00:00,-17.8
2013-06-30 00:00:00,-18.6
2013-05-31 00:00:00,-19.6
2013-04-30 00:00:00,-18.8
2013-03-31 00:00:00,-19.5
2013-02-28 00:00:00,-19.3
2013-01-31 00:00:00,-19.7
2012-12-31 00:00:00,-21.5
2012-11-30 00:00:00,-20.7
2012-10-31 00:00:00,-20.5
2012-09-30 00:00:00,-21.0
2012-08-31 00:00:00,-19.5
2012-07-31 00:00:00,-19.0
2012-06-30 00:00:00,-18.6
2012-05-31 00:00:00,-18.6
2012-04-30 00:00:00,-18.3
2012-03-31 00:00:00,-17.0
2012-02-29 00:00:00,-17.8
2012-01-31 00:00:00,-18.8
2011-12-31 00:00:00,-18.5
2011-11-30 00:00:00,-17.6
2011-10-31 00:00:00,-18.6
2011-09-30 00:00:00,-17.4
2011-08-31 00:00:00,-16.8
2011-07-31 00:00:00,-14.3
2011-06-30 00:00:00,-14.3
2011-05-31 00:00:00,-14.9
2011-04-30 00:00:00,-14.9
2011-03-31 00:00:00,-13.7
2011-02-28 00:00:00,-12.7
2011-01-31 00:00:00,-13.5
2010-12-31 00:00:00,-12.6
2010-11-30 00:00:00,-11.4
2010-10-31 00:00:00,-12.7
2010-09-30 00:00:00,-12.1
2010-08-31 00:00:00,-12.5
2010-07-31 00:00:00,-15.0
2010-06-30 00:00:00,-16.9
2010-05-31 00:00:00,-16.3
2010-04-30 00:00:00,-13.0
2010-03-31 00:00:00,-14.2
2010-02-28 00:00:00,-13.6
2010-01-31 00:00:00,-11.9
2009-12-31 00:00:00,-11.3
2009-11-30 00:00:00,-11.6
2009-10-31 00:00:00,-11.7
2009-09-30 00:00:00,-12.6
2009-08-31 00:00:00,-14.6
2009-07-31 00:00:00,-15.9
2009-06-30 00:00:00,-17.5
2009-05-31 00:00:00,-18.8
2009-04-30 00:00:00,-20.1
2009-03-31 00:00:00,-22.4
2009-02-28 00:00:00,-22.2
2009-01-31 00:00:00,-21.4
2008-12-31 00:00:00,-21.8
2008-11-30 00:00:00,-20.5
2008-10-31 00:00:00,-20.9
2008-09-30 00:00:00,-18.3
2008-08-31 00:00:00,-19.8
2008-07-31 00:00:00,-21.8
2008-06-30 00:00:00,-19.7
2008-05-31 00:00:00,-16.3
2008-04-30 00:00:00,-14.9
2008-03-31 00:00:00,-14.1
2008-02-29 00:00:00,-13.8
2008-01-31 00:00:00,-13.8
2007-12-31 00:00:00,-11.9
2007-11-30 00:00:00,-11.7
2007-10-31 00:00:00,-9.3
2007-09-30 00:00:00,-9.0
2007-08-31 00:00:00,-7.6
2007-07-31 00:00:00,-5.9
2007-06-30 00:00:00,-6.0
2007-05-31 00:00:00,-5.5
2007-04-30 00:00:00,-6.7
2007-03-31 00:00:00,-6.6
2007-02-28 00:00:00,-6.9
2007-01-31 00:00:00,-7.9
2006-12-31 00:00:00,-6.9
2006-11-30 00:00:00,-8.2
2006-10-31 00:00:00,-8.7
2006-09-30 00:00:00,-8.7
2006-08-31 00:00:00,-9.2
2006-07-31 00:00:00,-9.3
2006-06-30 00:00:00,-10.1
2006-05-31 00:00:00,-9.5
2006-04-30 00:00:00,-9.1
2006-03-31 00:00:00,-9.7
2006-02-28 00:00:00,-9.8
2006-01-31 00:00:00,-9.6
2005-12-31 00:00:00,-10.7
2005-11-30 00:00:00,-12.6
2005-10-31 00:00:00,-12.4
2005-09-30 00:00:00,-12.8
2005-08-31 00:00:00,-12.4
2005-07-31 00:00:00,-13.5
2005-06-30 00:00:00,-13.1
2005-05-31 00:00:00,-12.9
2005-04-30 00:00:00,-11.4
2005-03-31 00:00:00,-10.8
2005-02-28 00:00:00,-10.6
2005-01-31 00:00:00,-11.0
2004-12-31 00:00:00,-11.6
2004-11-30 00:00:00,-12.0
2004-10-31 00:00:00,-11.5
2004-09-30 00:00:00,-11.6
2004-08-31 00:00:00,-12.2
2004-07-31 00:00:00,-12.5
2004-06-30 00:00:00,-12.5
2004-05-31 00:00:00,-12.8
2004-04-30 00:00:00,-12.6
2004-03-31 00:00:00,-11.7
2004-02-29 00:00:00,-11.7
