指标名称,无烟煤：进口数量：俄罗斯→中国（月）
指标编码,CM0000291570
2011-06-30 00:00:00,111118.939
2011-05-31 00:00:00,81659.862
2011-04-30 00:00:00,91808.86
2011-03-31 00:00:00,106320.786
2011-02-28 00:00:00,52218.877
2011-01-31 00:00:00,46268.903
2010-12-31 00:00:00,78382.396
2010-11-30 00:00:00,47989.47
2010-10-31 00:00:00,55490.31
2010-09-30 00:00:00,90274.615
2010-08-31 00:00:00,67748.302
2010-07-31 00:00:00,62779.895
2010-06-30 00:00:00,19341.231
2010-05-31 00:00:00,29625.708
2010-04-30 00:00:00,123759.285
2010-03-31 00:00:00,48621.65
2010-02-28 00:00:00,52067.085
2010-01-31 00:00:00,67737.6
2009-12-31 00:00:00,164502.0
2009-11-30 00:00:00,114642.75
2009-10-31 00:00:00,110154.35
2009-09-30 00:00:00,285191.9
2009-08-31 00:00:00,10020.0
2009-07-31 00:00:00,393535.76
2009-06-30 00:00:00,253293.0
2009-05-31 00:00:00,258380.14
2009-04-30 00:00:00,299653.0
2009-03-31 00:00:00,124474.0
2009-02-28 00:00:00,42772.0
2009-01-31 00:00:00,10020.0
