指标名称,欧元区：制造业PMI：终值（月）
指标编码,GM0000039251
2025-12-31 00:00:00,48.8
2025-11-30 00:00:00,49.6
2025-10-31 00:00:00,50.0
2025-09-30 00:00:00,49.8
2025-08-31 00:00:00,50.7
2025-07-31 00:00:00,49.8
2025-06-30 00:00:00,49.5
2025-05-31 00:00:00,49.4
2025-04-30 00:00:00,49.0
2025-03-31 00:00:00,48.6
2025-02-28 00:00:00,47.6
2025-01-31 00:00:00,46.6
2024-12-31 00:00:00,45.1
2024-11-30 00:00:00,45.2
2024-10-31 00:00:00,46.0
2024-09-30 00:00:00,45.0
2024-08-31 00:00:00,45.8
2024-07-31 00:00:00,45.8
2024-06-30 00:00:00,45.8
2024-05-31 00:00:00,47.3
2024-04-30 00:00:00,45.7
2024-03-31 00:00:00,46.1
2024-02-29 00:00:00,46.5
2024-01-31 00:00:00,46.6
2023-12-31 00:00:00,44.4
2023-11-30 00:00:00,44.2
2023-10-31 00:00:00,43.1
2023-09-30 00:00:00,43.4
2023-08-31 00:00:00,43.5
2023-07-31 00:00:00,42.7
2023-06-30 00:00:00,43.4
2023-05-31 00:00:00,44.8
2023-04-30 00:00:00,45.8
2023-03-31 00:00:00,47.3
2023-02-28 00:00:00,48.5
2023-01-31 00:00:00,48.8
2022-12-31 00:00:00,47.8
2022-11-30 00:00:00,47.1
2022-10-31 00:00:00,46.4
2022-09-30 00:00:00,48.4
2022-08-31 00:00:00,49.6
2022-07-31 00:00:00,49.8
2022-06-30 00:00:00,52.1
2022-05-31 00:00:00,54.6
2022-04-30 00:00:00,55.5
2022-03-31 00:00:00,56.5
2022-02-28 00:00:00,58.2
2022-01-31 00:00:00,58.7
2021-12-31 00:00:00,58.0
2021-11-30 00:00:00,58.4
2021-10-31 00:00:00,58.3
2021-09-30 00:00:00,58.6
2021-08-31 00:00:00,61.4
2021-07-31 00:00:00,62.8
2021-06-30 00:00:00,63.4
2021-05-31 00:00:00,63.1
2021-04-30 00:00:00,62.9
2021-03-31 00:00:00,62.5
2021-02-28 00:00:00,57.9
2021-01-31 00:00:00,54.8
2020-12-31 00:00:00,55.2
2020-11-30 00:00:00,53.8
2020-10-31 00:00:00,54.8
2020-09-30 00:00:00,53.7
2020-08-31 00:00:00,51.7
2020-07-31 00:00:00,51.8
2020-06-30 00:00:00,47.4
2020-05-31 00:00:00,39.4
2020-04-30 00:00:00,33.4
2020-03-31 00:00:00,44.5
2020-02-29 00:00:00,49.2
2020-01-31 00:00:00,47.9
2019-12-31 00:00:00,46.3
2019-11-30 00:00:00,46.9
2019-10-31 00:00:00,45.9
2019-09-30 00:00:00,45.7
2019-08-31 00:00:00,47.0
2019-07-31 00:00:00,46.5
2019-06-30 00:00:00,47.6
2019-05-31 00:00:00,47.7
2019-04-30 00:00:00,47.9
2019-03-31 00:00:00,47.5
2019-02-28 00:00:00,49.3
2019-01-31 00:00:00,50.5
2018-12-31 00:00:00,51.4
2018-11-30 00:00:00,51.8
2018-10-31 00:00:00,52.0
2018-09-30 00:00:00,53.2
2018-08-31 00:00:00,54.6
2018-07-31 00:00:00,55.1
2018-06-30 00:00:00,54.9
2018-05-31 00:00:00,55.5
2018-04-30 00:00:00,56.2
2018-03-31 00:00:00,56.6
2018-02-28 00:00:00,58.6
2018-01-31 00:00:00,59.6
2017-12-31 00:00:00,60.6
2017-11-30 00:00:00,60.1
2017-10-31 00:00:00,58.5
2017-09-30 00:00:00,58.1
2017-08-31 00:00:00,57.4
2017-07-31 00:00:00,56.6
2017-06-30 00:00:00,57.4
2017-05-31 00:00:00,57.0
2017-04-30 00:00:00,56.7
2017-03-31 00:00:00,56.2
2017-02-28 00:00:00,55.4
2017-01-31 00:00:00,55.2
2016-12-31 00:00:00,54.9
2016-11-30 00:00:00,53.7
2016-10-31 00:00:00,53.5
2016-09-30 00:00:00,52.6
2016-08-31 00:00:00,51.7
2016-07-31 00:00:00,52.0
2016-06-30 00:00:00,52.8
2016-05-31 00:00:00,51.5
2016-04-30 00:00:00,51.7
2016-03-31 00:00:00,51.6
2016-02-29 00:00:00,51.2
2016-01-31 00:00:00,52.3
2015-12-31 00:00:00,53.2
2015-11-30 00:00:00,52.8
2015-10-31 00:00:00,52.3
2015-09-30 00:00:00,52.0
2015-08-31 00:00:00,52.3
2015-07-31 00:00:00,52.4
2015-06-30 00:00:00,52.5
2015-05-31 00:00:00,52.2
2015-04-30 00:00:00,52.0
2015-03-31 00:00:00,52.2
2015-02-28 00:00:00,51.0
2015-01-31 00:00:00,51.0
2014-12-31 00:00:00,50.6
2014-11-30 00:00:00,50.1
2014-10-31 00:00:00,50.6
2014-09-30 00:00:00,50.3
2014-08-31 00:00:00,50.7
2014-07-31 00:00:00,51.8
2014-06-30 00:00:00,51.8
2014-05-31 00:00:00,52.2
2014-04-30 00:00:00,53.4
2014-03-31 00:00:00,53.0
2014-02-28 00:00:00,53.2
2014-01-31 00:00:00,54.0
2013-12-31 00:00:00,52.7
2013-11-30 00:00:00,51.6
2013-10-31 00:00:00,51.3
2013-09-30 00:00:00,51.1
2013-08-31 00:00:00,51.4
2013-07-31 00:00:00,50.3
2013-06-30 00:00:00,48.8
2013-05-31 00:00:00,48.3
2013-04-30 00:00:00,46.7
2013-03-31 00:00:00,46.8
2013-02-28 00:00:00,47.9
2013-01-31 00:00:00,47.9
2012-12-31 00:00:00,46.1
2012-11-30 00:00:00,46.2
2012-10-31 00:00:00,45.4
2012-09-30 00:00:00,46.1
2012-08-31 00:00:00,45.1
2012-07-31 00:00:00,44.0
2012-06-30 00:00:00,45.1
2012-05-31 00:00:00,45.1
2012-04-30 00:00:00,45.9
2012-03-31 00:00:00,47.7
2012-02-29 00:00:00,49.0
2012-01-31 00:00:00,48.8
2011-12-31 00:00:00,46.9
2011-11-30 00:00:00,46.4
2011-10-31 00:00:00,47.1
2011-09-30 00:00:00,48.5
2011-08-31 00:00:00,49.0
2011-07-31 00:00:00,50.4
2011-06-30 00:00:00,52.0
2011-05-31 00:00:00,54.6
2011-04-30 00:00:00,58.0
2011-03-31 00:00:00,57.5
2011-02-28 00:00:00,59.0
2011-01-31 00:00:00,57.3
2010-12-31 00:00:00,57.1
2010-11-30 00:00:00,55.3
2010-10-31 00:00:00,54.6
2010-09-30 00:00:00,53.7
2010-08-31 00:00:00,55.1
2010-07-31 00:00:00,56.7
2010-06-30 00:00:00,55.6
2010-05-31 00:00:00,55.8
2010-04-30 00:00:00,57.6
2010-03-31 00:00:00,56.6
2010-02-28 00:00:00,54.2
2010-01-31 00:00:00,52.4
2009-12-31 00:00:00,51.6
2009-11-30 00:00:00,51.2
2009-10-31 00:00:00,50.7
2009-09-30 00:00:00,49.3
2009-08-31 00:00:00,48.2
2009-07-31 00:00:00,46.3
2009-06-30 00:00:00,42.6
2009-05-31 00:00:00,40.7
2009-04-30 00:00:00,36.8
2009-03-31 00:00:00,33.9
2009-02-28 00:00:00,33.5
2009-01-31 00:00:00,34.4
2008-12-31 00:00:00,33.9
2008-11-30 00:00:00,35.6
