指标名称,中国：货币供应量同比：M1（月）
指标编码,CM0000662589
2025-11-30 00:00:00,4.9
2025-10-31 00:00:00,6.2
2025-09-30 00:00:00,7.2
2025-08-31 00:00:00,6.0
2025-07-31 00:00:00,5.6
2025-06-30 00:00:00,4.6
2025-05-31 00:00:00,2.3
2025-04-30 00:00:00,1.5
2025-03-31 00:00:00,1.6
2025-02-28 00:00:00,0.1
2025-01-31 00:00:00,0.4
2024-12-31 00:00:00,1.2
2024-11-30 00:00:00,-0.7
2024-10-31 00:00:00,-2.3
2024-09-30 00:00:00,-3.3
2024-08-31 00:00:00,-3.0
2024-07-31 00:00:00,-2.6
2024-06-30 00:00:00,-1.7
2024-05-31 00:00:00,-0.8
2024-04-30 00:00:00,0.6
2024-03-31 00:00:00,2.3
2024-02-29 00:00:00,2.6
2024-01-31 00:00:00,3.3
2023-12-31 00:00:00,1.3
2023-11-30 00:00:00,1.3
2023-10-31 00:00:00,1.9
2023-09-30 00:00:00,2.1
2023-08-31 00:00:00,2.2
2023-07-31 00:00:00,2.3
2023-06-30 00:00:00,3.1
2023-05-31 00:00:00,4.7
2023-04-30 00:00:00,5.3
2023-03-31 00:00:00,5.1
2023-02-28 00:00:00,5.8
2023-01-31 00:00:00,6.7
2022-12-31 00:00:00,3.7
2022-11-30 00:00:00,4.6
2022-10-31 00:00:00,5.8
2022-09-30 00:00:00,6.4
2022-08-31 00:00:00,6.1
2022-07-31 00:00:00,6.7
2022-06-30 00:00:00,5.8
2022-05-31 00:00:00,4.6
2022-04-30 00:00:00,5.1
2022-03-31 00:00:00,4.7
2022-02-28 00:00:00,4.7
2022-01-31 00:00:00,-1.9
2021-12-31 00:00:00,3.5
2021-11-30 00:00:00,3.0
2021-10-31 00:00:00,2.8
2021-09-30 00:00:00,3.7
2021-08-31 00:00:00,4.2
2021-07-31 00:00:00,4.9
2021-06-30 00:00:00,5.5
2021-05-31 00:00:00,6.1
2021-04-30 00:00:00,6.2
2021-03-31 00:00:00,7.1
2021-02-28 00:00:00,7.4
2021-01-31 00:00:00,14.7
2020-12-31 00:00:00,8.6
2020-11-30 00:00:00,10.0
2020-10-31 00:00:00,9.1
2020-09-30 00:00:00,8.1
2020-08-31 00:00:00,8.0
2020-07-31 00:00:00,6.9
2020-06-30 00:00:00,6.5
2020-05-31 00:00:00,6.8
2020-04-30 00:00:00,5.5
2020-03-31 00:00:00,5.0
2020-02-29 00:00:00,4.8
2020-01-31 00:00:00,0.0
2019-12-31 00:00:00,4.4
2019-11-30 00:00:00,3.5
2019-10-31 00:00:00,3.3
2019-09-30 00:00:00,3.4
2019-08-31 00:00:00,3.4
2019-07-31 00:00:00,3.1
2019-06-30 00:00:00,4.4
2019-05-31 00:00:00,3.4
2019-04-30 00:00:00,2.9
2019-03-31 00:00:00,4.6
2019-02-28 00:00:00,2.0
2019-01-31 00:00:00,0.4
2018-12-31 00:00:00,1.5
2018-11-30 00:00:00,1.5
