month,daily_mape_mean,daily_mape_corrected_mean,month_avg_mape,n_points,month_actual_mean,month_pred_mean,prev_month_actual_mean,actual_trend_vs_prev,pred_trend_vs_prev,trend_correct_vs_prev
2025-08,3.8086987976984097,3.8086987976984097,3.6088006925173013,21,1555.7142857142858,1499.571657797838,1396.0869565217392,上涨,上涨,1.0
2025-09,2.2001714542022492,2.2001714542022492,1.892197595613536,23,1550.4347826086957,1579.7720722867734,1555.7142857142858,不变,上涨,0.0
2025-10,2.4232328901458633,2.4232328901458633,1.4712784000165096,18,1581.111111111111,1557.8485648530723,1550.4347826086957,上涨,不变,0.0
2025-11,3.880889290018227,3.880889290018227,3.8103598899527675,20,1613.5,1674.980156824388,1581.111111111111,上涨,上涨,1.0
2025-12,0.9159352191238433,0.9159352191238433,0.7427946388124641,23,1553.4782608695652,1541.939107632709,1613.5,下跌,下跌,1.0
2026-01,1.8664896345682733,1.8664896345682733,1.364567896468373,9,1568.888888888889,1547.4803347798518,1553.4782608695652,上涨,不变,0.0
Overall,2.541118533090099,2.541118533090099,2.1483331855634917,114,1569.3859649122808,1568.0575637610914,,N/A,N/A,50.0
