month,daily_mape_mean,daily_mape_corrected_mean,month_avg_mape,n_points,month_actual_mean,month_pred_mean,prev_month_actual_mean,actual_trend_vs_prev,pred_trend_vs_prev,trend_correct_vs_prev
2025-08,3.8744863738538804,3.8744863738538804,3.792943912920098,21,1090.4761904761904,1131.8373407647,963.9130434782609,上涨,上涨,1.0
2025-09,2.990253751824596,2.990253751824596,2.987300807690137,23,1002.6086956521739,972.6577579889849,1090.4761904761904,下跌,下跌,1.0
2025-10,0.720723862749532,0.720723862749532,0.5797051992327057,18,1011.6666666666666,1005.8019824010958,1002.6086956521739,不变,不变,1.0
2025-11,1.7705098192143525,1.7705098192143525,1.7601510413309744,20,1020.0,1037.953540621576,1011.6666666666666,不变,上涨,0.0
2025-12,3.483642780778333,3.483642780778333,3.4156246337313303,23,975.6521739130435,1008.9767899047526,1020.0,下跌,不变,0.0
2026-01,0.2577763182866689,0.2577763182866689,0.25777631828668046,9,980.0,982.5262079192095,975.6521739130435,不变,不变,1.0
Overall,2.4646232182382235,2.4646232182382235,2.132250318865321,114,1016.0526315789474,1026.7756238994632,,N/A,N/A,66.66666666666666
